finding_id,run_id,checklist_item,severity,category,description,remediation,target_date,status,resolved_date,resolved_commit
F-001,AGC-2026-02-17-001,§7.2,HIGH,version-ref,"README line 46 cites SAD v0.1.0.2 + RTD v0.1.0.2 (should be v0.1.0.5 + v0.1.0.4)","Update ASCII chain in README.md",2026-02-18,RESOLVED,2026-02-18,9d10de8
F-002,AGC-2026-02-17-001,"§7.2, §6.1",HIGH,version-ref,"Genealogy mermaid lines 41-42: SAD/RTD node labels cite v0.1.0.2","Update mermaid node labels in Artifact_Genealogy.md",2026-02-18,RESOLVED,2026-02-18,9d10de8
F-003,AGC-2026-02-17-001,§7.2,HIGH,version-ref,"Genealogy narrative lines 234, 236 cite SAD/RTD v0.1.0.2","Update narrative paragraphs in Artifact_Genealogy.md; updated 40+ to 45 components",2026-02-18,RESOLVED,2026-02-18,9d10de8
F-004,AGC-2026-02-17-001,"§6.1.4, §9.2.2",MEDIUM,phase-assignment,"DM phase: mermaid γ subgraph vs inventory table α","Moved DM from γ to α subgraph in mermaid (inventory already said α)",2026-02-18,RESOLVED,2026-02-18,9d10de8
F-005,AGC-2026-02-17-001,"§6.2.1, §7.3.8",MEDIUM,count-discrepancy,"N_nodes: §0 said 34 but verified recount yields 35","Updated §0.2 N_nodes to 35",2026-02-18,RESOLVED,2026-02-18,9d10de8
F-006,AGC-2026-02-17-001,§6.2.2,MEDIUM,count-discrepancy,"N_edges: §0 says 80; §6 agent counted 77","CLOSED — verified recount confirms 80. §6 agent miscounted.",2026-02-18,CLOSED,2026-02-18,N/A
F-007,AGC-2026-02-17-001,"§3.5.1, §7.3.7",MEDIUM,count-discrepancy,"N_sil: §0 said 50 but verified recount yields 43","Updated §0.2 N_sil to 43; updated Genealogy SIL node label from 51 to 43",2026-02-18,RESOLVED,2026-02-18,9d10de8
F-008,AGC-2026-02-17-001,§7.3.6,MEDIUM,count-discrepancy,"N_sad: §0 says 45; §7 agent counted ~34","CLOSED — verified recount confirms 45. §7 agent undercounted.",2026-02-18,CLOSED,2026-02-18,N/A
F-009,AGC-2026-02-17-001,§2 note,LOW,stale-comment,"RTD header comment says Synced with SAD v0.1.0.4 (should be v0.1.0.5)","Updated header comment in RTD_0.1.0.4.mermaid",2026-02-18,RESOLVED,2026-02-18,9d10de8
F-010,AGC-2026-02-17-001,§0.4.3-4,LOW,missing-artifact,"trace_matrix.csv and finding_register.csv did not exist","Both files created",2026-02-18,RESOLVED,2026-02-18,9d10de8
F-011,AGC-2026-02-17-001,§7.3,MEDIUM,count-discrepancy,"N_artifacts: §0 said 14 but inventory table has 16 in-repo artifacts","Updated §0.2 N_artifacts to 16",2026-02-18,RESOLVED,2026-02-18,9d10de8
F-012,AGC-2026-02-17-001,§7.2,LOW,count-approx,"Genealogy MGE node label says 60+ symbols but actual count is 104","Updated mermaid label from 60+ to 104",2026-02-18,RESOLVED,2026-02-18,9d10de8
F-013,EXT-AUDIT-002,§7.2,HIGH,version-ref,"Genealogy narrative table line 261: 65-control (should be 62)","Updated to 62-control",2026-02-18,RESOLVED,2026-02-18,be4c221
F-014,EXT-AUDIT-002,§7.2,HIGH,version-ref,"DPG lines 25-26: SAD v0.1.0.2 + RTD v0.1.0.2 + 40+ components","Updated to v0.1.0.5/v0.1.0.4 + 45 components",2026-02-18,RESOLVED,2026-02-18,be4c221
F-015,EXT-AUDIT-002,§7.2,MEDIUM,version-ref,"TGS line 4: Source Authority cites DPG v1.0 (should be v1.1)","Updated to v1.1",2026-02-18,RESOLVED,2026-02-18,be4c221
F-016,EXT-AUDIT-002,§7.2,MEDIUM,dangling-ref,"Dev_Environment_Spec: 5 references to wrong/non-existent file paths","Updated existing file names to match actual; annotated planned files",2026-02-18,RESOLVED,2026-02-18,be4c221
F-017,EXT-AUDIT-002,§0.4,LOW,missing-artifact,"control_library.csv and waiver_register.csv referenced by TGS but absent","Created stub CSVs in docs/audit/",2026-02-18,RESOLVED,2026-02-18,be4c221
F-018,EXT-AUDIT-003,§6.3.3,HIGH,sync-control,"§6.3.3 recorded PASS but GitHub/GitLab HEAD commits differ (343f823 vs 09200f5f); independent push histories make hash match structurally impossible","Corrected §6.3.3 to FAIL; consolidated to single local repo with dual remotes sharing identical commit history",2026-02-18,RESOLVED,2026-02-18,aec0cd5
F-019,EXT-AUDIT-003,§7.2,MEDIUM,count-discrepancy,"Genealogy narrative: SAD (51 components) and MGE (60+ symbols) vs audited 45 and 104","Updated Artifact_Genealogy.md to 45 components and 104 symbols",2026-02-18,RESOLVED,2026-02-18,aec0cd5
F-020,EXT-AUDIT-003,§0.3,MEDIUM,count-discrepancy,"N_artifacts = 16 but Artifact Version Registry table has 15 rows","Added AGC Results row to registry table",2026-02-18,RESOLVED,2026-02-18,aec0cd5
F-021,EXT-AUDIT-003,§0.4,MEDIUM,traceability,"F-013..F-017 resolved_commit = pending; no closure evidence","Backfilled with commit be4c221",2026-02-18,RESOLVED,2026-02-18,aec0cd5
F-022,EXT-AUDIT-004,§6.3.3,HIGH,sync-control,"resolved_commit SHAs from independent push histories not valid across both mirrors","Consolidated to single local repo with shared history; force-pushed to align; all SHAs now valid in both remotes",2026-02-18,RESOLVED,2026-02-18,pending
F-023,EXT-AUDIT-004,§0.4,MEDIUM,traceability,"F-018..F-021 resolved_commit = pending","Backfilled with aec0cd5",2026-02-18,RESOLVED,2026-02-18,pending
F-024,EXT-AUDIT-004,§6.3,LOW,mirror-drift,".gitignore tracked in GitHub but absent from GitLab","Added .gitignore to tracked repo",2026-02-18,RESOLVED,2026-02-18,pending
